text,mask
"Excellent verbal , written and interpersonal skills Dedication to continuous improvement and innovation Commitment to growth , development and learning new things To be eligible: Must be legally authorized to work for any U.S. employer on a full-time basis without the need for sponsorship now or in the future Interviewing",O S_Soft_Skill O E_Soft_Skill O E_Soft_Skill E_Soft_Skill O O S_Soft_Skill E_Soft_Skill O E_Soft_Skill O O S_Soft_Skill O S_Soft_Skill O S_Soft_Skill S_Soft_Skill E_Soft_Skill O O O O O O O O O O O O O O O O O S_Misc_Info O O O E_Misc_Info O O O O O O
"Process Due to COVID-19 , most of our employees are working from home. We 've implemented a virtual hiring process and continue to interview candidates by phone or video. We value the safety of each member of our community because we know we 're all in this together. Work Location",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Associates will have the opportunity to work from our Corporate Headquarters & Technology Innovation Center , both located in Richmond VA Upon an applicant 's request , CarMax will consider reasonable accommodation to complete the CarMax Job Application.",O O O O O O O O O O O O O O O O O O O S_location E_location O O O O O O O O O O O O O O O O O
The ideal candidate for this posting will be someone who is passionate about learning how to use their voice their ideas; and their creativity to make a difference and leave an impact. We are looking for someone who will be able to really learn what our clients are looking for,O O O O O O O O O O O S_Soft_Skill O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O S_Soft_Skill O O O O O O O O O O O O O O O O O O O O O O O O O O
"in terms of clients and acquisitions , and to really create fully-immersive , and engaging , face-to-face campaigns The goal of these campaigns is to get the target demographic in the local community excited to participate in national and international relief campaigns. We believe that together , our company ,",O O O O O O O O O O S_resp E_resp O O E_resp O E_resp E_resp O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"our clients , and our community can make a huge difference in quality of life around the globe. The best candidates will be: *Friendly outgoing and energetic *Creative enough to create successful campaigns through verbal and written media *Have a prevalence for leadership *Willing to learn from the ground up.",O O O O O O O O O O O O O O O O O O O O O O O S_Hard_Skill S_Hard_Skill O S_Hard_Skill S_Hard_Skill O O O O O O S_Hard_Skill O S_Hard_Skill E_Hard_Skill O O S_Hard_Skill O E_Soft_Skill S_Soft_Skill O E_Soft_Skill O O E_Soft_Skill O
"Requirements: *Be able to speak English (Spanish/French/Russian a bonus *Have basic mastery of Microsoft Excel *Be patient and humble enough to learn; *Be able to work a minimum of 4 days per week (available days Mon-Sat); *Can physically be at our office for daily training. Benefits: *Health , dental ,",O O O O S_Hard_Skill E_Hard_Skill S_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O S_Hard_Skill E_Hard_Skill O S_Soft_Skill O S_Soft_Skill O O O O O O S_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info O O O O O S_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info O O O O S_perks O S_perks O
"vision assistance available on request; *1-1 mentorship and coaching from management *National and international business trips *Personal financial edducation If this sounds like a fit for you , and you are excited to learn and grow , let 's click that button and submit our resume! #GetSchooled OPT and CPT",S_perks O O O O S_perks E_perks O E_perks E_perks E_perks S_perks E_perks E_perks E_perks E_perks S_perks E_perks E_perks O O O O O O O O O O O O O O O O O O O O O O O O O O O O S_Hard_Skill O S_Hard_Skill
"applicants encouraged. Job Types: Full-time , Part-time , Internship Pay $400.00 - $1 ,200.00 per week Benefits: Dental insurance Health insurance Vision insurance Schedule: 8 hour shift Monday to Friday Weekend availability Supplemental pay types Bonus pay Ability to commute/relocate Fort Lauderdale , FL 33316: Reliably commute or planning to",O O O O S_Misc_Info O S_Misc_Info O S_Misc_Info S_perks S_perks S_perks O S_perks S_perks S_perks O S_perks E_perks S_perks E_perks S_perks E_perks O S_Misc_Info E_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info E_Misc_Info S_perks E_perks S_perks E_perks E_perks S_location E_location O E_location O O O O O O
relocate before starting work (Preferred) Education: High school or equivalent (Preferred) Work Location: One location,O O O O O O S_degree E_degree O E_degree O O O O O
"This is not a remote position We 're seeking an Electronic Repair Service Specialist with a passion for helping others and a background in technical support , diagnosing , and troubleshooting. The successful candidates will be responsible for answering problems brought to them by customers , troubleshooting technical issues (hardware",S_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info O S_Misc_Info E_Misc_Info O E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"related) within the device(s). We are looking for candidates with excellent communication skills who can work well under pressure Responsibilities: Client Services & Customer Support (Sales , Retail & Customer Support , and Tier 1 Tech Support) Diagnose and troubleshoot phones , tablets and computers with the customer (face to",O O O O O O O O O O O O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O S_resp E_resp O E_resp E_resp O O O O O O O O O O O O S_resp O E_resp E_resp O E_resp O E_resp O O E_resp O O
"face on the spot) such as screen related problem , charging issues , battery issues , camera issues , etc. Check-in customers with hardware repair issues (battery repair , charge port repair , etc.) Check-out customers picking up device after the repair and explain the warranty to the customer Help",O O O O O O O O O O O O O O O O O O O O S_Hard_Skill E_Hard_Skill O E_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O O O O O O O O O O O O O O O O O O O O O
customers understand the issue they are experiencing and educate/explain to them why it occurs Requires fast and quick thinking Fast work environment Explain complex technical issues to customers Hands-on technical support with electronic devices Starting pay $14-$15 hour based on experience and knowledge Commission after training Room for growth in,O O O O O O O O O O O O O O S_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O O S_Soft_Skill E_Soft_Skill E_Soft_Skill O E_Soft_Skill E_Soft_Skill S_perks E_perks E_perks E_perks O O O O O S_perks E_perks E_perks S_perks E_perks E_perks O
pay and position (after 8 months) $300 training bonus (upon completion 1-2 months) Explain warranty and policy to customers Listen to customers technical problem and solve the issue. Help customers find accessories that will accommodate their needs. Explain the warranty policy to the customers. 5% software related issues and 95%,O O O O O O S_perks E_perks E_perks O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
hardware related issues. Must be available on Saturdays. We are closed on Sunday. Paid Internships are available as a Technician Assistant at $12-$13/hour No experience required but you must be enrolled in school and proof of enrollment. Please start a conversation with us if you are interested. Job Types: Full-time,O O O O O O O O O O O O O S_Misc_Info E_Misc_Info O E_Misc_Info O O O O O S_perks O O O O O O O O O O O O O O O O O O O O O O O O O O S_Misc_Info
", Part-time , Internship Pay $14.00 - $15.00 per hour Benefits: Dental insurance Employee discount Flexible schedule Health insurance Paid time off Vision insurance Schedule: 8 hour shift Day shift Holidays Monday to Friday Weekend availability Ability to commute/relocate Atlanta , GA 30344: Reliably commute or planning to relocate before",O S_Misc_Info O S_Misc_Info S_perks E_perks O E_perks E_perks E_perks O S_perks E_perks S_perks E_perks S_perks E_perks S_perks E_perks S_perks E_perks E_perks S_perks E_perks O S_Misc_Info E_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info S_Misc_Info S_Misc_Info E_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info S_Misc_Info O E_Misc_Info S_location O E_location O O O O O O O O
starting work (Required) Application Question(s): Are you aware that this is not a remote position? What is the starting pay rate for this position? How much is the signing completion bonus? Please view the listing for the answer. How much do we charge for the 11 Pro Max Premium Screen,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
repair? The answer is found on our website at www.tpkwireless.com. This is an Electronic Device Service Specialist (Tier 1 Tech Support) position. A service specialist focuses heavily on customer service and sales in addition to tech support. Are you ready for a challenging position that requires a 110%? We have,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
two locations. Where is TPK Wireless location? Please list the two cities. Is this a feasible commute for you? Education: Associate (Preferred) Experience: Customer Service 3 years (Required) Software troubleshooting 2 years (Required) Work Location: One location,O O O O O O O O O O O O O O O O O O O O O O O S_Soft_Skill E_Soft_Skill S_Years_Experince E_Years_Experince O S_Hard_Skill E_Hard_Skill S_Years_Experince E_Years_Experince O O O O O
"Our firm is in need of a driven and passionate community leader to assist our fundraising team in increasing community outreach efforts and donor membership through local events. We have some immense goals for the rest of this year , which is why we need a Community Outreach Assistant to",O O O O O O O S_Soft_Skill O S_Soft_Skill O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"join our team. We aim to drive donor and community support for our partner to maintain their education and enforce relationships between the communities and create healthier , safer neighborhoods throughout the East Bay area. Attending in person events is how we are able to effectively get our clients message",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
across our communities. Entry Level Community Outreach Specialist Responsibilities: Effectively convey our nonprofit partner 's mission to potential donors to increase funding Set up and attend local events regularly to spread our partner 's mission and build lasting relationships with community members Assist donors with registration and enable ongoing communication,O O O O O O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O E_Soft_Skill E_Soft_Skill O O O O O O S_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill E_Hard_Skill O O O O O O O O S_Hard_Skill E_Hard_Skill E_Hard_Skill O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O
"and support , so they accept and accurately notate donations Receive ongoing training , coaching , and support by attending daily meetings , networking sessions , and one-on-one mentorship Entry Level Community Outreach Specialist Requirements: NO EXPERIENCE NECESSARY Passion for philanthropy , charitable organizations , giving back to local communities",O O O O O O O O O O S_perks E_perks E_perks O E_perks O E_perks E_perks O O O O O O O O O O O O O O O O O E_Years_Experince E_Years_Experince E_Years_Experince S_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill
", and most importantly , working with people! Exceptional interpersonal and communication skills , including a high level of emotional intelligence and empathy Positive , competitive , and coachable mindset Well-spoken , confident , articulate , and people-centric Strong public speaking skills Proven work ethic and self-motivated Candidates that can",O O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill S_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill O O O O O O S_Soft_Skill E_Soft_Skill O E_Soft_Skill S_Soft_Skill O E_Soft_Skill O O S_Soft_Skill E_Soft_Skill S_Soft_Skill O S_Soft_Skill O S_Soft_Skill O O S_Soft_Skill S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill S_Soft_Skill E_Soft_Skill E_Soft_Skill O S_Soft_Skill O O O
"start immediately are highly preferred Job Types: Full-time , Internship Pay $40 ,000.00 - $55 ,000.00 per year Schedule: Monday to Friday Weekend availability Supplemental pay types: Commission pay Work Location On the road",O O O O O O O S_Misc_Info O S_Misc_Info S_perks O E_perks E_perks O E_perks E_perks E_perks O S_Important_Dates E_Important_Dates E_Important_Dates S_Important_Dates E_Important_Dates S_perks E_perks O S_perks E_perks S_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info E_Misc_Info
"Our store now has a full-time , Entry-Level Management position available -- Hardworking , tech-savvy individual is wanted for our Department to support our new and existing shoppers with the selection of service plans. Daily responsibilities include joining office meetings to help reinforce standard operating procedures , set goals ,",O O O O O S_Misc_Info O S_Misc_Info E_Misc_Info E_Misc_Info O O S_Soft_Skill O S_Soft_Skill E_Soft_Skill O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S_Soft_Skill E_Soft_Skill O
"and celebrate Team Members ' achievements , in addition to practicing presentations and brushing up on product knowledge Proudly welcome and redirect your shoppers to the tech area for evaluation of their service plans. Using your exceptional listening skills , understand your customer 's wants , needs , and budget",O O O O O O O O O O S_resp E_resp E_resp E_resp E_resp E_resp E_resp E_resp O O O O O O O O O O O O O O O O O O O S_Soft_Skill E_Soft_Skill O O O O S_Soft_Skill E_Soft_Skill O E_Soft_Skill O O E_Soft_Skill
"While building their confidence , present and guide them through the Wireless device inventory and service options available. Close sales by determining your customer 's best course of action and completing orders by processing transactions through your POS device. Accelerated Advancement Opportunities Team Building Exercises & Appreciation Events Guaranteed Hourly",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Base Pay - PAID WEEKLY Earn Uncapped Commission and Performance Bonuses Skills: Proven work experience as a Junior Account Manager or relevant sales role Experience with CRM software (e.g. Salesforce Understanding of sales principles and ability to deliver excellent customer experience Strong (verbal and written communication skills with an ability,O O O S_perks E_perks S_perks E_perks E_perks E_perks E_perks E_perks O O O O O O O O O O O O O O O S_Hard_Skill O O S_Hard_Skill O O S_Soft_Skill E_Soft_Skill O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill E_Soft_Skill S_Soft_Skill E_Soft_Skill O E_Soft_Skill E_Soft_Skill E_Soft_Skill O O O
"to build relationships Effective presentation and negotiation skills High degree of professionalism Efficient time-management skills with a problem-solving attitude BSc degree in Business Administration , Marketing or relevant field Redis Marketing , Inc. internally develops each employee on a day-to-day basis. We focus on mentoring , training , and developing",O O O S_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill S_Soft_Skill E_Soft_Skill O E_Soft_Skill S_Soft_Skill E_Soft_Skill E_Soft_Skill O O S_Soft_Skill E_Soft_Skill S_degree O O S_degree E_degree O S_degree O O O O O O O O O O O O O O O O O O S_perks O S_perks O O S_perks
"each and every one of our employees through an accelerated growth process Job Types: Full-time , Internship Pay: $35 ,000.00 - $60 ,000.00 per year Benefits: Employee discount Flexible schedule Paid time off Experience level No experience needed Shift: 8 hour shift Weekly day range: Monday to Friday Weekend availability",O O O O O O O O O S_perks E_perks E_perks O O S_Misc_Info O E_Misc_Info S_perks O E_perks E_perks O E_perks E_perks E_perks O S_perks E_perks S_perks E_perks S_perks E_perks E_perks S_perks E_perks O O O O S_Misc_Info S_Misc_Info E_Misc_Info S_Misc_Info S_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info
Application Question(s): What is the best email address to contact you at? Education: Associate (Preferred) Experience: Management 1 year (Preferred) Customer service 1 year (Preferred) Direct sales 1 year (Preferred) Work Location: On the road,O O O O O O O O O O O O O S_degree O O S_Hard_Skill S_degree E_degree O S_Hard_Skill E_Hard_Skill S_degree E_degree O S_Hard_Skill E_Hard_Skill S_degree E_degree O O O O O O
"Ascension Marketing specializes in marketing , sales , advertising , fundraising and brand marketing. We evaluate our client 's needs and strive to meet their sales targets while penetrating new demographics to acquire donors. We provide face to face services to our business prospects and customers. We strive to represent",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
our clients in a very professional and success oriented manner. What are we looking for in a Marketing Assistant? Work closely with our management team on marketing and event planning Aid in client relations On-site donor presentations Provide sales support to support proper channels of information Advocate our clients ',O O O O O O O O O O O O O O O O O O O S_resp E_resp O O E_resp E_resp O E_resp O E_resp E_resp S_resp O E_resp E_resp S_resp E_resp E_resp S_resp E_resp E_resp O O O O O O S_resp O O E_resp
needs Successful candidates in this role will be able to provide: Strong communication skills both verbal and written A detail oriented outlook with the ability to meet deadlines Proven ability to plan and execute team and individual goals Strong team player skills Minimum Education: High School Degree or Equivalent Minimum,E_resp O O O O O O O O O O S_Soft_Skill E_Soft_Skill E_Soft_Skill O E_Soft_Skill O E_Soft_Skill O S_Soft_Skill E_Soft_Skill E_Soft_Skill O O O O S_Soft_Skill E_Soft_Skill O O O S_Soft_Skill O S_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill O S_Soft_Skill E_Soft_Skill E_Soft_Skill O O S_degree E_degree E_degree O O O
"Experience: No Experience necessary , all training will be provided Job Types: Full-time , Part-time , Internship Pay: $38 ,000.00 - $56 ,000.00 per year Schedule: Monday to Friday Weekend availability Work Location: One location Work Remotely: No",O O O O O O S_perks E_perks E_perks E_perks O O S_Misc_Info O S_Misc_Info O S_Misc_Info S_perks O S_perks S_perks O S_perks S_perks S_perks O S_Misc_Info E_Misc_Info E_Misc_Info S_Misc_Info E_Misc_Info O O O O S_Misc_Info E_Misc_Info E_Misc_Info
"Ascension Marketing specializes in marketing , sales and advertising. We strive to meet our client 's needs and sales targets while grooming talent into leadership positions to expand to new markets. We provide face to face services to our business prospects and customers. We strive to represent our clients in",S_Company_Name E_Company_Name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
